                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.99468,                 2.2255,                0.95378,                 1.0621,                0.84155,                0.73765,                0.82548,                0.64246,                0.84315,                0.67587,                0.74802,                0.49828,                0.90312,                 2.0159,                 0.7392,                  1.008,              9.426e-05,              9.426e-05,              9.426e-05
                     24,                 0.9006,                 2.1031,                0.91386,                 1.0425,                0.85427,                0.73562,                0.83518,                0.65158,                0.84598,                0.67684,                0.75948,                0.50535,                0.89664,                 2.0042,                0.73511,                  1.005,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     25,                 0.9484,                 2.1958,                0.94605,                 1.0652,                0.86474,                0.72843,                0.83351,                0.65274,                0.82097,                0.67515,                 0.7587,                0.51182,                  0.891,                 1.9987,                0.72697,                 1.0016,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     26,                0.96366,                 2.1521,                0.92789,                 1.0771,                0.85179,                0.75852,                0.83953,                0.65717,                0.80176,                0.69796,                0.76224,                0.51681,                0.88062,                 1.9824,                 0.7145,                0.99667,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     27,                0.93879,                   2.14,                0.89636,                 1.0499,                0.82233,                0.78076,                0.84066,                 0.6601,                  0.802,                  0.704,                0.76155,                0.51991,                0.86748,                 1.9637,                0.70447,                0.99149,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     28,                 0.9814,                 2.2358,                0.90734,                 1.0697,                 0.8257,                0.77553,                0.83834,                0.66574,                0.79347,                 0.7315,                 0.7754,                0.52509,                0.86015,                 1.9506,                 0.6959,                0.98904,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     29,                0.92782,                 2.0618,                0.87851,                 1.0432,                0.82751,                0.77707,                0.83779,                0.66451,                0.79504,                 0.7338,                0.77948,                0.52306,                0.85875,                 1.9375,                0.68887,                0.98875,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     30,                0.92298,                 2.1393,                0.81171,                  1.023,                0.82905,                0.78342,                0.84461,                0.66642,                 0.7995,                0.72611,                0.78158,                0.52474,                0.85643,                 1.9228,                0.68807,                0.98637,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     31,                0.94819,                 2.1427,                0.90301,                  1.055,                0.83107,                0.77999,                0.84917,                0.67351,                0.81157,                0.72504,                0.78491,                0.53002,                0.85406,                  1.911,                0.68339,                0.98433,             8.4835e-05,             8.4835e-05,             8.4835e-05
                     32,                0.87194,                 1.9755,                0.83049,                 1.0381,                0.82155,                0.78858,                0.85181,                0.67886,                0.81536,                0.73158,                0.79299,                0.53901,                0.84691,                 1.8991,                0.67556,                0.98088,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     33,                0.94263,                  2.109,                0.89471,                 1.0537,                0.82509,                0.79249,                0.85557,                0.68084,                0.82808,                0.73286,                0.79794,                0.54555,                0.83796,                 1.8868,                0.66253,                0.97691,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     34,                 0.9252,                  2.093,                0.86311,                  1.044,                0.85985,                0.78044,                0.85962,                0.68483,                0.82066,                0.74418,                0.79977,                0.54764,                0.83167,                 1.8768,                0.65422,                0.97365,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                0.92108,                 2.0614,                0.82134,                  1.047,                0.85316,                0.79109,                0.86345,                0.69115,                0.81421,                0.75683,                0.80538,                0.54727,                0.82734,                 1.8721,                 0.6494,                0.97217,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                0.93774,                 2.0515,                0.85768,                 1.0332,                0.85053,                0.79554,                0.86579,                0.69381,                0.81627,                0.75476,                0.80677,                0.54549,                 0.8265,                 1.8707,                0.64519,                0.97156,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                0.89542,                 2.0883,                0.81478,                 1.0143,                0.85253,                0.79482,                0.86844,                0.69456,                0.82932,                0.75163,                0.80999,                0.54624,                0.82107,                 1.8638,                0.64195,                0.96794,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                0.87088,                 2.0741,                0.84582,                 1.0271,                0.86232,                0.79255,                 0.8688,                0.69701,                0.83483,                0.74905,                0.80991,                 0.5505,                0.81451,                 1.8577,                 0.6396,                0.96401,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                0.92177,                 2.0604,                0.83007,                 1.0522,                0.85844,                0.79546,                0.86996,                 0.6972,                0.83369,                0.75741,                0.81389,                0.55492,                0.81523,                 1.8539,                  0.635,                0.96322,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                0.91954,                   1.99,                0.80292,                 1.0475,                0.85893,                0.80066,                0.87085,                0.69657,                0.85083,                0.75325,                0.81469,                0.55876,                 0.8131,                  1.843,                0.62943,                0.96206,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                0.90681,                 2.0619,                0.82953,                 1.0361,                0.87098,                0.80024,                0.87155,                0.69637,                0.83907,                0.75719,                  0.816,                0.55963,                0.81038,                 1.8305,                0.62563,                0.96266,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                  0.921,                 2.0208,                0.82332,                 1.0271,                0.88267,                0.79743,                0.87269,                0.70338,                0.84339,                0.75646,                 0.8152,                0.56145,                0.81012,                 1.8265,                0.62262,                0.96269,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                0.90728,                 2.0522,                0.82507,                 1.0471,                0.89427,                0.79072,                0.87257,                0.70511,                0.84869,                0.75198,                0.81331,                0.55117,                0.81038,                 1.8244,                0.61823,                0.96288,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                0.88221,                 2.0522,                0.76195,                  1.028,                0.87308,                0.80745,                0.87721,                0.70646,                0.84378,                0.75969,                0.81614,                0.55199,                0.80816,                 1.8198,                0.61866,                0.96151,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                0.87137,                 2.0033,                0.82315,                 1.0283,                0.88745,                0.80612,                0.87481,                0.70807,                 0.8406,                0.76571,                0.81808,                0.55927,                0.80365,                 1.8137,                0.61707,                 0.9595,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                0.86109,                 1.9433,                0.78867,                 1.0124,                0.88147,                0.80983,                0.87471,                0.70887,                0.83349,                0.76789,                0.81672,                0.56741,                0.79934,                 1.8103,                0.61543,                0.95661,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                0.87034,                 1.9757,                0.78331,                 1.0219,                0.87823,                0.82172,                 0.8768,                0.70861,                 0.8341,                0.77847,                0.82076,                0.56948,                0.79661,                 1.8033,                 0.6103,                 0.9549,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                0.85958,                 1.8742,                0.76394,                 1.0186,                0.86842,                0.82289,                0.87688,                0.70932,                0.82771,                0.77835,                0.81994,                0.56948,                0.79264,                 1.7952,                0.60435,                 0.9526,             6.4807e-05,             6.4807e-05,             6.4807e-05
